query,superpathway,pathway,subpathway,function,id,description,V2,V3
Ga0242637_11225,unclassified,unclassified,Pantothenate and CoA biosynthesis in plants,2-dehydropantoate 2-reductase (EC 1.1.1.169),SS03296,2-dehydropantoate 2-reductase (EC 1.1.1.169),60.66666667,3.49E-44
Ga0242637_11228,Experimental Subsystems,unclassified,CBSS-190486.1.peg.2083,Methyltransferase type 12,SS18861,Methyltransferase type 12,69.2,3.80E-27
Ga0242637_11229,Amino Acids and Derivatives,unclassified,Creatine and Creatinine Degradation,Sarcosine dehydrogenase (EC 1.5.99.1),SS20528,Sarcosine dehydrogenase (EC 1.5.99.1),60.475,3.33E-205
Ga0242637_11232,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,Adenylate cyclase (EC 4.6.1.1),SS16311,Adenylate cyclase (EC 4.6.1.1),26.1,4.50E-18
Ga0242637_11234,Experimental Subsystems,unclassified,UbiE methyltransferase family,SAM-dependent methyltransferase DSY4148 (UbiE paralog),SS20496,SAM-dependent methyltransferase DSY4148 (UbiE paralog),63.2,1.16E-57
Ga0242637_11242,Carbohydrates,Di- and oligosaccharides,Beta-Glucoside Metabolism,6-phospho-beta-glucosidase (EC 3.2.1.86),SS01426,6-phospho-beta-glucosidase (EC 3.2.1.86),62.1,3.55E-139
Ga0242637_11243,Experimental Subsystems,unclassified,Sugar catabolome in Shewanella species,Sialidase (EC 3.2.1.18),SS20598,Sialidase (EC 3.2.1.18),66.33333333,2.52E-123
Ga0242637_11244,Experimental Subsystems,unclassified,Sugar catabolome in Shewanella species,Sialidase (EC 3.2.1.18),SS20598,Sialidase (EC 3.2.1.18),97.1,1.30E-222
Ga0242637_11245,unclassified,unclassified,RidA proteins,Ornithine carbamoyltransferase (EC 2.1.3.3),SS19196,Ornithine carbamoyltransferase (EC 2.1.3.3),74.68571429,3.11E-128
Ga0242637_11251,unclassified,unclassified,Que-2 2,ATP-dependent DNA helicase RecQ,SS16186,ATP-dependent DNA helicase RecQ,56.41428571,2.57E-103
Ga0242637_11252,unclassified,unclassified,Que-2 2,ATP-dependent DNA helicase RecQ,SS16186,ATP-dependent DNA helicase RecQ,100,1.50E-13
Ga0242637_11255,DNA Metabolism,DNA replication,DNA-replication,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),SS04658,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),79.38,3.40E-07
Ga0242637_11256,DNA Metabolism,DNA replication,DNA-replication,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),SS04658,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),57.66666667,2.93E-10
Ga0242637_11258,Phosphorus Metabolism,unclassified,Phosphate metabolism,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),SS06008,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),67.61666667,3.59E-68
Ga0242637_11259,DNA Metabolism,DNA replication,DNA-replication,Recombination protein RecR,SS04676,Recombination protein RecR,84.02,2.69E-87
Ga0242637_11262,unclassified,unclassified,YggSProC,Aspartokinase (EC 2.7.2.4),SS16492,Aspartokinase (EC 2.7.2.4),77.26,2.36E-164
Ga0242637_11268,DNA Metabolism,DNA replication,"DNA topoisomerases, Type I, ATP-independent",DNA topoisomerase IB (poxvirus type) (EC 5.99.1.2),SS04692,DNA topoisomerase IB (poxvirus type) (EC 5.99.1.2),63.08,2.98E-87
Ga0242637_11269,unclassified,unclassified,Family 25 FUPA25 P-type ATPase,Phytoene dehydrogenase and related proteins,SS02040,Phytoene dehydrogenase and related proteins,79.35,6.00E-170
Ga0242637_11269,Photosynthesis,unclassified,Proteorhodopsin,Beta-carotene ketolase (EC 1.14.-.-),SS16544,Beta-carotene ketolase (EC 1.14.-.-),58.85,4.57E-165
Ga0242637_11275,Experimental Subsystems,unclassified,Transporters In Models,Manganese transport protein MntH,SS13860,Manganese transport protein MntH,99.8,3.40E-220
Ga0242637_11278,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Trehalose synthase (EC 5.4.99.16),SS13933,Trehalose synthase (EC 5.4.99.16),65.18,8.00E-161
Ga0242637_11279,Experimental Subsystems,unclassified,Sugar catabolome in Shewanella species,Alpha-glucosidase (EC 3.2.1.20),SS16384,Alpha-glucosidase (EC 3.2.1.20),50.19,8.63E-144
Ga0242637_11282,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Trehalose synthase (EC 5.4.99.16),SS13933,Trehalose synthase (EC 5.4.99.16),70.91428571,2.57E-193
Ga0242637_11283,Experimental Subsystems,unclassified,Experimental-FO,F420-dependent glucose-6-phosphate dehydrogenase,SS17368,F420-dependent glucose-6-phosphate dehydrogenase,66.36666667,4.08E-109
Ga0242637_11285,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,55.1,1.79E-135
Ga0242637_11289,RNA Metabolism,Transcription,"Transcription initiation, bacterial sigma factors",RNA polymerase sigma factor SigB,SS20337,RNA polymerase sigma factor SigB,99.6,3.50E-152
Ga0242637_11289,Stress Response,Oxidative stress,Regulation of Oxidative Stress Response,RNA polymerase sigma factor,SS20333,RNA polymerase sigma factor,42.7,9.30E-44
Ga0242637_11297,DNA Metabolism,DNA repair,2-phosphoglycolate salvage,Putative phosphatase YieH,SS00048,Putative phosphatase YieH,54.625,2.02E-50
Ga0242637_11305,unclassified,unclassified,WhiB and WhiB-type regulatory proteins 2,WhiB-type transcriptional regulator,SS15210,WhiB-type transcriptional regulator,37.7,7.20E-07
Ga0242637_11305,unclassified,unclassified,WhiB and WhiB-type regulatory proteins 2,WhiB-like transcriptional regulator,SS15208,WhiB-like transcriptional regulator,34.2,5.10E-05
Ga0242637_11308,"Phages, Prophages, Transposable elements, Plasmids","Phages, Prophages",Phage integration and excision,Integrase,SS09279,Integrase,36.85,1.70E-36
Ga0242637_11311,Cell Division and Cell Cycle,unclassified,Macromolecular synthesis operon,Transamidase GatB domain protein,SS07651,Transamidase GatB domain protein,67.64285714,2.42E-35
Ga0242637_11312,unclassified,unclassified,WhiB and WhiB-type regulatory proteins 2,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),SS18943,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),55.13333333,5.22E-17
Ga0242637_11313,unclassified,unclassified,WhiB and WhiB-type regulatory proteins 2,WhiB-type transcription regulator,SS15211,WhiB-type transcription regulator,64.83333333,5.69E-27
Ga0242637_11314,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,Arsenical pump-driving ATPase (EC 3.6.3.16),SS00851,Arsenical pump-driving ATPase (EC 3.6.3.16),71,5.53E-130
Ga0242637_11315,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,Arsenical pump-driving ATPase (EC 3.6.3.16),SS00851,Arsenical pump-driving ATPase (EC 3.6.3.16),68.8,1.63E-79
Ga0242637_11319,Clustering-based subsystems,unclassified,CBSS-479431.5.peg.3955,FIG011121: hypothetical protein,SS17489,FIG011121: hypothetical protein,81.86666667,6.15E-17
Ga0242637_11320,Clustering-based subsystems,unclassified,CBSS-479431.5.peg.3955,FIG137598: hypothetical protein,SS17646,FIG137598: hypothetical protein,53.63333333,7.24E-30
Ga0242637_11321,Clustering-based subsystems,May be related to ADP-phosphoribose and NAD-dependent acetylation,CBSS-216591.1.peg.168,NTP pyrophosphohydrolases including oxidative damage repair enzymes,SS19046,NTP pyrophosphohydrolases including oxidative damage repair enzymes,47.6,5.90E-51
Ga0242637_11322,unclassified,unclassified,YceA,"FIG146518: Zn-dependent hydrolases, including glyoxylases",SS17658,"FIG146518: Zn-dependent hydrolases, including glyoxylases",70.48,1.32E-80
Ga0242637_11323,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,SS21659,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,81.8,1.53E-83
Ga0242637_11324,unclassified,unclassified,XXBobCopyTrmE,Endonuclease III (EC 4.2.99.18),SS17254,Endonuclease III (EC 4.2.99.18),84.33333333,2.13E-103
Ga0242637_11324,Miscellaneous,Plant-Prokaryote DOE project,YggW,A/G-specific adenine glycosylase (EC 3.2.2.-),SS15444,A/G-specific adenine glycosylase (EC 3.2.2.-),73.3,1.00E-97
Ga0242637_11325,Nucleosides and Nucleotides,Detoxification,Nudix proteins (nucleoside triphosphate hydrolases),Hypothetical nudix hydrolase YeaB,SS18224,Hypothetical nudix hydrolase YeaB,73.9,4.80E-53
Ga0242637_11328,"Cofactors, Vitamins, Prosthetic Groups, Pigments",Folate and pterines,YgfZ-Iron,TctA citrate transporter,SS15436,TctA citrate transporter,77.24285714,3.13E-188
Ga0242637_11329,"Cofactors, Vitamins, Prosthetic Groups, Pigments",Folate and pterines,YgfZ-Iron,TctB citrate transporter,SS15437,TctB citrate transporter,63.0875,4.55E-39
Ga0242637_11330,"Cofactors, Vitamins, Prosthetic Groups, Pigments",Folate and pterines,YgfZ-Iron,TctC citrate transporter,SS15438,TctC citrate transporter,74.54285714,6.86E-113
Ga0242637_11331,Membrane Transport,unclassified,"Citrate Utilization System (CitAB, CitH, and tctABC)",Signal transduction histidine kinase CitA regulating citrate metabolism,SS03069,Signal transduction histidine kinase CitA regulating citrate metabolism,73.93333333,5.34E-160
Ga0242637_11332,Membrane Transport,unclassified,"Citrate Utilization System (CitAB, CitH, and tctABC)",Response regulator CitB of citrate metabolism,SS03068,Response regulator CitB of citrate metabolism,68.725,4.01E-66
Ga0242637_11335,Clustering-based subsystems,unclassified,CBSS-410289.13.peg.3174,Epoxide hydrolase (EC 3.3.2.9),SS17324,Epoxide hydrolase (EC 3.3.2.9),63.6,1.88E-80
Ga0242637_11338,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,62.1,7.70E-180
Ga0242637_11339,Carbohydrates,Di- and oligosaccharides,Maltose and Maltodextrin Utilization,Maltose O-acetyltransferase (EC 2.3.1.79),SS18724,Maltose O-acetyltransferase (EC 2.3.1.79),32.7,7.90E-05
Ga0242637_11340,Protein Metabolism,Protein processing and modification,N-linked Glycosylation in Bacteria,4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase,SS16077,4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase,65.02,7.90E-112
Ga0242637_11342,unclassified,unclassified,WhiB and WhiB-type regulatory proteins 2,"Glycosyl transferase, family 2",SS18026,"Glycosyl transferase, family 2",66.13333333,2.17E-63
Ga0242637_11342,Cell Wall and Capsule,Gram-Negative cell wall components,Lipid A-Ara4N pathway ( Polymyxin resistance ),"Polymyxin resistance protein ArnC, glycosyl transferase (EC 2.4.-.-)",SS07236,"Polymyxin resistance protein ArnC, glycosyl transferase (EC 2.4.-.-)",44.375,4.25E-56
Ga0242637_11343,Experimental Subsystems,unclassified,Transporters In Models,Na+/H+ antiporter NhaA type,SS08535,Na+/H+ antiporter NhaA type,69.76666667,1.00E-128
Ga0242637_11347,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,Flp pilus assembly protein RcpC/CpaB,SS15218,Flp pilus assembly protein RcpC/CpaB,33.2,9.20E-22
Ga0242637_11348,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,"Type II/IV secretion system ATPase TadZ/CpaE, associated with Flp pilus assembly",SS15227,"Type II/IV secretion system ATPase TadZ/CpaE, associated with Flp pilus assembly",51.7,2.50E-22
Ga0242637_11349,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,"Type II/IV secretion system ATPase TadZ/CpaE, associated with Flp pilus assembly",SS15227,"Type II/IV secretion system ATPase TadZ/CpaE, associated with Flp pilus assembly",45.37142857,5.57E-32
Ga0242637_11350,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,"Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily",SS15228,"Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily",66,3.15E-146
Ga0242637_11351,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,Flp pilus assembly protein TadB,SS15219,Flp pilus assembly protein TadB,42.1,1.67E-33
Ga0242637_11352,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,"Type II/IV secretion system protein TadC, associated with Flp pilus assembly",SS15229,"Type II/IV secretion system protein TadC, associated with Flp pilus assembly",47,2.21E-41
Ga0242637_11359,Clustering-based subsystems,unclassified,Putative hemin transporter,Hemolysins and related proteins containing CBS domains,SS18095,Hemolysins and related proteins containing CBS domains,67.62857143,1.16E-123
Ga0242637_11360,"Virulence, Disease and Defense",Resistance to antibiotics and toxic compounds,Lysozyme inhibitors,Membrane-bound lysozyme inhibitor of c-type lysozyme,SS07643,Membrane-bound lysozyme inhibitor of c-type lysozyme,33,2.60E-05
Ga0242637_11362,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",Acetyl-coenzyme A synthetase (EC 6.2.1.1),SS16252,Acetyl-coenzyme A synthetase (EC 6.2.1.1),78.87142857,4.38E-284
Ga0242637_11365,Clustering-based subsystems,unclassified,CBSS-336982.3.peg.3874,"Flp pilus assembly protein, ATPase CpaF",SS17759,"Flp pilus assembly protein, ATPase CpaF",54.825,1.58E-91
Ga0242637_11367,Clustering-based subsystems,unclassified,CBSS-336982.3.peg.3874,FIG054221: Possible conserved alanine rich membrane protein,SS17600,FIG054221: Possible conserved alanine rich membrane protein,37.3,1.50E-07
Ga0242637_11368,Clustering-based subsystems,unclassified,CBSS-336982.3.peg.3874,FIG043778: hypothetical protein,SS17593,FIG043778: hypothetical protein,54.3,0.00041
Ga0242637_11371,RNA Metabolism,Transcription,Rrf2 family transcriptional regulators,"Predicted transcriptional regulator of sulfate adenylyltransferase, Rrf2 family",SS11732,"Predicted transcriptional regulator of sulfate adenylyltransferase, Rrf2 family",69.34,2.87E-39
Ga0242637_11372,Stress Response,Detoxification,Uptake of selenate and selenite,Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25),SS20793,Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25),82.33333333,3.35E-135
Ga0242637_11373,Experimental Subsystems,unclassified,Sulfate Assimilation Shewanella,Sulfate transport system permease protein CysW,SS20797,Sulfate transport system permease protein CysW,83.98,3.37E-110
Ga0242637_11374,Experimental Subsystems,unclassified,Sulfate Assimilation Shewanella,Sulfate transport system permease protein CysT,SS20796,Sulfate transport system permease protein CysT,81.62,1.70E-99
Ga0242637_11375,Experimental Subsystems,unclassified,Sulfate Assimilation Shewanella,Sulfate and thiosulfate binding protein CysP,SS20791,Sulfate and thiosulfate binding protein CysP,74.275,3.78E-120
Ga0242637_11379,Stress Response,unclassified,SigmaB stress responce regulation,anti sigma b factor antagonist RsbV,SS12271,anti sigma b factor antagonist RsbV,63.77777778,4.61E-27
Ga0242637_11379,Stress Response,unclassified,SigmaB stress responce regulation,anti-sigma F factor antagonist (spoIIAA-2),SS21624,anti-sigma F factor antagonist (spoIIAA-2),63.77777778,4.61E-27
Ga0242637_11381,Miscellaneous,unclassified,Carbonate Biomineralization,"Transcriptional regulator, TetR family",SS21142,"Transcriptional regulator, TetR family",52.96,2.42E-23
Ga0242637_11382,Miscellaneous,unclassified,ZZ gjo need homes,Lipid A export ATP-binding/permease protein MsbA,SS15509,Lipid A export ATP-binding/permease protein MsbA,71.6,2.21E-185
Ga0242637_11383,Miscellaneous,unclassified,ZZ gjo need homes,Lipid A export ATP-binding/permease protein MsbA,SS15509,Lipid A export ATP-binding/permease protein MsbA,76.35,1.43E-235
Ga0242637_11384,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Gly",Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14),SS14040,Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14),71.875,0
Ga0242637_11384,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Gly",Glycyl-tRNA synthetase beta chain (EC 6.1.1.14),SS14041,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14),71.875,0
Ga0242637_11385,unclassified,unclassified,MCO,Magnesium and cobalt transport protein CorA,SS01865,Magnesium and cobalt transport protein CorA,38.875,4.82E-52
Ga0242637_11386,Stress Response,Oxidative stress,Regulation of Oxidative Stress Response,Redox-sensitive transcriptional activator SoxR,SS20366,Redox-sensitive transcriptional activator SoxR,71.82,8.24E-45
Ga0242637_11399,Membrane Transport,"Protein and nucleoprotein secretion system, Type IV",pVir Plasmid of Campylobacter,DNA topoisomerase I (EC 5.99.1.2),SS17100,DNA topoisomerase I (EC 5.99.1.2),79.275,0
Ga0242637_11400,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Cys",N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase MshB,SS05889,N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase MshB,69.975,1.87E-81
Ga0242637_11402,Experimental Subsystems,unclassified,oxaloacetate to 2-oxoglutarate module,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),SS18457,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),81.05,0
Ga0242637_11402,Experimental Subsystems,unclassified,oxaloacetate to 2-oxoglutarate module,Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42),SS18916,Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42),81.05,0
Ga0242637_11403,"Phages, Prophages, Transposable elements, Plasmids",Transposable elements,Tn552,Beta-lactamase (EC 3.5.2.6),SS13568,Beta-lactamase (EC 3.5.2.6),63.98,1.24E-125
Ga0242637_11404,Stress Response,unclassified,Dimethylarginine metabolism,"NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)",SS04408,"NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)",67.02,3.94E-77
Ga0242637_11410,unclassified,unclassified,RtcB RtcA,Phosphoribosyl transferase domain protein,SS19707,Phosphoribosyl transferase domain protein,75.48333333,9.17E-27
Ga0242637_11411,unclassified,unclassified,RtcB RtcA,Phosphoribosyl transferase domain protein,SS19707,Phosphoribosyl transferase domain protein,72.63333333,7.53E-10
Ga0242637_11411,unclassified,unclassified,tRNA mods Archaea,Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77),SS20049,Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77),57.4,1.30E-09
Ga0242637_11413,unclassified,unclassified,Yggs,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),SS16490,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),78.88333333,1.19E-130
Ga0242637_11414,Stress Response,Heat shock,Heat shock dnaK gene cluster extended,DNA polymerase III delta prime subunit (EC 2.7.7.7),SS04654,DNA polymerase III delta prime subunit (EC 2.7.7.7),68.97142857,7.02E-112
